# Gigage-Alsdulo-ale-Na-Galgwogi-Unaksojaneda-Anigina.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᏓᏲᏥᎾᏫᏛᎯ|||They and I will take him or her somewhere.
ᏓᏲᏥᏍᏚᎢᏏ|||They and I will open it.
ᏓᏲᏥᏍᏚᏂ|||They and I will close it.
ᏓᏲᏥᏫᏛᎯ|||They and I will lead him or her.
ᏓᏲᏦᏎᎵ|||They and I will say to him or her.
ᏓᏳᎷᏥ|||He or she will arrive.
ᏔᎷᏣ|||A basket. Baskets.
ᏔᏃᎨᏂ|||Your arms.
ᏕᎯᏍᎦᎭ|||You are afraid of them.
ᏕᎯᏍᎦᎭᏍᎪ|||Are you afraid of them?
ᏕᏥᎦᏙᎵ|||My eyes.
ᏕᏥᏍᎦᎭ|||I am afraid of them.
ᏕᏥᏫᏗᎭ|||I am taking them.
ᏕᏥᏲᎦ|||I just brought them.
ᏖᎾ|||Let you go towards me.
ᏗᎦᎴᏂ|||His ears.
ᏗᎦᏃᎨᏂ|||My arms.
ᏗᎦᏘᏅᏘᏗ|||Eye glasses.
ᏗᎦᏙᎵ|||His or her eyes.
ᏗᎧᏃᎨ|||Arms.
ᏗᎨᏅᏒᎢ|||① Your all's and my home. ② Your all's and my goings.
ᏗᎩᏁᏅᏒᎢ|||① Your and my home. ② Your and my goings.
ᏗᎬᎿᎨ|||Black.
ᏗᎬᎿᎨᎢ|||Black.
ᏗᎵᏍᏓᏴᏗ|||Groceries. Meals.
ᏗᎵᏍᏙᏰᏗ|||Scissors.
ᏗᏂᎨᏓ|||Heavy.
ᏗᏂᎨᏓᏒᎢᏍᎪ|||Are they unusually heavy?
ᏗᏂᎴᏴᏍᏗᏍᎩ|||Lumberjacks.
ᏗᏆᎳᏏᏕᏂ|||My feet.
ᏗᏆᎵᏨᏯᏍᏗ|||I'm brave.
ᏗᏆᏃᎨᏂ|||My arms.
ᏗᏆᏤᎵ|||My.
ᏗᏇᏥ|||My children.
ᏗᏐᎢ|||Others.
ᏗᏜ|||Toward.
ᏗᏣᎦᏙᏍᏓ|||Let you all look at them.
ᏗᏣᎳᏏᏕᏂ|||Your feet.
ᏗᏥᎴᏂ|||My ears.
ᏗᏥᏱᎦ|||Let you all look for it.
ᏗᏨᏰᏥ|||They and I, your children.
ᏘᎦᏙᎵ|||Your eyes.
ᏘᎴᏂ|||Your ears.
ᏘᎷᎩ|||Come, approaching me.
ᏙᎢ|||Still.
ᏙᎯᏳ|||Really. Very.
ᏙᎯᏳᏍ|||Very?
ᏙᎾᏓᎪᎲᎢ|||Let you one and I see each other again later.
ᏙᏓᎫᏢᏂ|||I will cover them.
ᏙᏓᎸᏉᏗ|||He or she will like them.
ᏙᏓᏓᎪᎲᎢ|||Let us see each other later.
ᏙᏓᏥᏫᏛᎯ|||I will take them.
ᏙᏓᏲᎩᏯᎵ|||They and I will look for them.
ᏙᏛᎩᎧᎯᏏᎵ||Ꮥ- Ꮣ- ᎠᎩ- ᎤᏪᎧᎲᎢ -ᎢᏏᎸᎢ|I will have them again.
ᏙᏛᏒᏂ|||He or she will devour him, her, or it.
ᏙᏣᎵᎮᎵᎦ|||They and I are happy.
ᏙᏥᎪᏩᏘᎭ|||They and I see them.
ᏙᏦᎵᎦ|||They and I recognize them.
ᏙᏱ|||Outside.
ᏙᏳ|||Very.
ᏚᎦᏘᏅᏔ|||He or she is wearing glasses.
ᏚᎦᏘᏅᏔᏁ|||He put on eye glasses.
ᏚᎦᏙᏍᏔᏁ|||He or she looked at them.
ᏚᎨᏳᏐ|||He or she loves or is possessive over them.
ᏚᎩᏎ|||① He or she got them. ② He or she picked them up.
ᏚᎳᏑᏝᏃ|||And he or she is wearing shoes or boots.
ᏚᎵᏔᏁ|||He or she put them in a container.
ᏚᎵᏔᏗᏅᏎ|||He jumped.
ᏚᎵᏔᏗᏅᏒᎢ|||His or her jumping.
ᏚᎸᏉᏗ|||He or she likes them.
ᏚᎾᎦᏙᏍᏔᏁ|||They looked at them.
ᏚᎾᎵᏔᏗᏅᏎ|||They jumped.
ᏚᎾᏓᏓᎦᏙᏍᏔᏁ|||They looked at each other.
ᏚᎾᏠᏎ|||They met.
ᏚᏁᎧᎮ|||He or she has them.
ᏚᏒᏁ|||He or she devoured them.
ᏚᏒᏅᎩ|||He or she devoured them.
ᏚᏙᎠ|||Is called.
ᏚᏭᏢᏁ|||① He or she covered them. ② He or she put lids on them.
ᏚᏯᏅᎮ|||He or she called out to them.
ᏚᏯᏅᎯᏏᎴ||Ꮥ- ᎤᏯᏅᎲᎢ -ᎢᏏᎸᎢ|He or she called out again for them.
ᏚᏯᏪᎦ|||I am tired.
ᏛᎩᏒᏟ|||I will get into bed.
ᏛᎵᎮᎵᏥ|||He or she will be glad.
ᏛᏇᏅᏏ|||I will go.
ᏛᏍᎦᎵᏍ|||Will he or she be afraid?
ᏛᏓᏅᏏ|||It will move.
Ꮭ|||No. Not.
Ꮭ ᎢᎸᎯᏳ|||Ever.
Ꮭ ᏱᏘᏯᎵᏃᎮᏔᏂ|||I will not talk to him or her.
ᏞᏍᏗ|||Do not.
ᏞᏍᏗ ᏥᎯᏯᎵᏃᎮᏓ|||Do not speak to him or her.
ᏡᎬ|||A tree.
ᏣᎪᏩᏛᏗ|||① For you to see it. ② For him or her to see you.
ᏣᎵᏍᏓᏁᎭ|||It is happening to you.
ᏣᎵᏍᏓᏁᏗ|||For it to happen to you.
ᏣᎵᏍᏓᏁᏗᏍᏊ|||For it to happen to you also.
ᏣᎵᏍᏓᏏ|||Let it happen to you.
ᏣᎵᏏ|||Your maternal grandmother.
ᏣᎵᏏᏍᎪ|||Is it your maternal grandmother?
ᏣᎸᏍᏗ|||For you to climb.
ᏣᎸᏍᏗᏍ|||Is it for you to climb it?
ᏣᏅᎢᏍᏗ|||For me to fall from an upright position.
ᏣᏅᏔ|||You know it.
ᏣᏓᏅᏘ|||You are gentle.
ᏣᏓᏣᏘᏗ|||You are reckless.
ᏣᏛᎦᏁᏍ|||Did you hear it?
ᏣᏛᏁ|||You said.
ᏣᏛᏁᎴ|||You did it.
ᏣᏢᎦ|||You are sick.
ᏣᏤᎵ|||Your.
ᏣᏤᎵᏍᎪ|||Is it yours?
ᏣᏬᏂᏒᎢ|||Your speaking.
ᏣᏲ|||You are bad.
ᏣᏲᏒ|||You are unusually bad.
ᏣᏴᏍᏗ|||For you to enter.
ᏤᏅᏍᏗ|||For you to go.
ᏥᎦᏔᎭ|||I know how.
ᏥᎨᏓ|||I'm heavy.
ᏥᎨᏳᎠ|||I love or am possessive over him or her.
ᏥᎨᏳᏐ|||I always love or am possessive over him, her, or it.
ᏥᎪᎮᎦ||Ꮵ- ᎤᎪᎲᎢ -ᎡᎦ|I go to see him, her, or it.
ᏥᎪᎲᏍᏗ|||For me to see him or her.
ᏥᎯᏯᎵᏃᎮᏓ|||Don't talk with him or her.
ᏥᎯᏰᎢᏍᏓ|||Don't you wake him or her.
ᏥᏂᏱᏗ|||For me to catch him or her.
ᏥᏍᎦᎭ|||I am afraid of him, her, or it.
ᏥᏍᎦᏯ|||I was just now afraid.
ᏥᏒᎲᏍᏗ|||For me to devour him, her, or it.
ᏥᏟᎲᎩ|||I was sleeping.
ᏥᏣᎵᏍᎪᎸᏓᏏ|||Do not let you all permit it.
ᏥᏥᏍᏚᎢ|||You all, do not open it.
ᏥᏫᏗᎭ|||I am taking it.
ᏥᏯᎠ|||I am inside it.
ᏥᏲᏌ|||I just spoke to him or her.
ᏦᎩᎪᏩᏛᏗ|||For them and me to see them.
ᏦᎳᏂ|||A window. Windows.
ᏦᏟᏍᏗ|||① For you to understand it. ② For him or her to recognize you.
ᏧᎳᏏᏕᏂ|||His or her feet.
ᏧᎾᏍᏗ|||Babies. Little.
ᏧᎾᏟᏂᎩᏓ|||Strong.
ᏧᏁᎦ|||White.
ᏧᏁᏅᏒᎢ|||① Their home. ② Their goings.
ᏧᏍᏗ|||Little.
ᏧᏓᏙᏎᎸᎢ||Ꮧ- ᎤᏓᏓ- ᎤᏬᏎᎸᎢ|His or her talking to themselves.
ᏧᏔᎾ|||They are big.
ᏧᏔᎾᏍ|||Are they big?
ᏧᏔᏂ|||They are too big.
ᏧᏛᏅᎢ|||His or her saying.
ᏧᏩᎧᎯᏯᏍᏗ|||He or she must leave them behind.
ᏧᏩᏛᎮᏗ||Ꮧ- ᎤᏩᏛᎲᎢ -ᎡᏗ|For him or her to find it for them.
ᏧᏪᏅᏒᎢ|||① His or her home. ② His or her goings.
ᏧᏪᏥ|||Offspring.
ᏧᏬᏎᎸᎢ|||His or her speaking to them.
ᏩᎲᎦ|||He or she just sent it.
ᏩᏂᎨᎢ|||Soft.
ᏩᏇᏅᏍᏗ|||For me to go away.
ᏩᏇᏓᏍᏗ|||For me to go away.
ᏩᏥ|||Watch. Clock.
ᏩᏥᏱ|||Usual location of the watch or clock.
ᏩᏯ|||A wolf. Wolves.
ᏩᏯᏊ|||Just a wolf. Just wolves.
ᏪᎦ|||He or she is going away.
ᏪᎾ|||Go away!
ᏪᏙᎭ|||He or she is away walking about.
Ꮻ-|||① Moving or facing away from the speaker. ② Unseen in the distance.
ᏫᎦᎧᎲᎦ|||He or she just sent him or her.
ᏫᎦᏁᎳ|||Away he or she resides.
ᏫᏍᎩᎩᏎᎷᎦ||Ꮻ- ᎢᏍᎩ- ᎤᎩᏒᎢ -ᎡᎸᎢ -ᎤᎦ|Let you go get it for us.
ᏫᏍᎩᏕᎳ|||Let you help them and me.
ᏫᏗᏓᏓᎾᏩᏍᏓ|||Let everyone take off running.
ᏫᏘᎪᏩᏛᏓ|||Let you show them.
ᏫᏘᏩᏔ|||Let you find them.
ᏫᏙᏥᎪᏩᏔ|||Let them and me see them.
ᏫᏚᎵᏔᏗᏅᏎᎴ||Ꮻ- ᏚᎵᏔᏗᏅᏒᎢ -ᎡᎸᎢ|He or she jumped for him or her.
ᏫᏣᏓᎾᏩᏍᏓ|||Let you all start running away.
ᏫᏤᏅᏍᏗ|||For you to go away.
ᏫᏤᏅᏒᎢ|||Your being gone away.
ᏫᏥᏫᏛᎮᏗ||Ꮻ- Ꮵ- ᎤᏫᏛᎲᎢ -ᎡᏗ|For me to take it away to her.
ᏭᎪᏛ|||Most.
ᏭᏪᏅᏍᏗ|||Away for him or her to go.
ᏭᏪᏅᏎ|||Away he or she went.
ᏭᏪᏅᏏᏏᎴ||Ꮻ- ᎤᏪᏅᏒᎢ -ᎢᏏᎸᎢ|He or she went away again.
ᏭᏪᏅᏒᎢ|||His or her going away.
ᏭᏪᏅᏒᎩ|||He or she went away.
ᏯᎾᎵᏍᎪᎸᏓᏁᎰ|||If they permit it.
ᏯᏆᎵᏍᏓᏁᎭ|||If it is happening to me.
ᏯᏆᏚᎵ|||If I am wanting it.
Ᏹ- -Ꭰ|||When something does or happens, something else usually does or happens.
ᏱᎦᏣᏴᏍᏗ|||If for you to enter.
ᏱᎦᏣᏴᏟᏐᏗ||Ᏹ- Ꭶ- Ꮳ- ᎤᏴᏢᎢ -ᎢᏐᏗ|If for you to enter it again.
ᏱᎦᏱᏥᏍᏕᎸᏗ|||He or she can't help you all.
ᏱᎨᏎ|||If it was being.
ᏱᎩ|||If it is.
ᏱᎬᎩᎪᏩᏔ|||If they just saw me.
ᏱᎬᎩᎷᎦ|||If they just killed me.
ᏱᎯᎾᏌᎾᎦ|||If you pull it just now.
ᏱᎾᏛᏁᎰ|||If you usually do something.
ᏱᏄᏛᏁᎴ|||If he or she did.
ᏱᏍᎩᏯᏛᎩᎠ|||If you all are hearing me.
ᏱᏍᎩᏲᎵᎦ|||If you all recognize me.
ᏱᏓᎬᏯᏅᎯ|||If I will help you.
ᏱᏓᏨᏍᏚᎢᏎᎵ||Ᏹ- Ꮣ- ᎢᏨ- ᎤᏍᏚᎢᏒᎢ -ᎡᎸᎢ|If they and I will open it for you.
ᏱᏓᏲᏣᎵᏍᎪᎸᏓᏁᎵ|||If they and I will permit it.
ᏱᏓᏲᏥᏍᏚᎢᏎᎵ||Ᏹ- Ꮣ- ᎣᏥ- ᎤᏍᏚᎢᏒᎢ -ᎡᎸᎢ|If they and I will open it for him or her.
ᏱᏓᏲᏥᏍᏚᎢᏏ|||If we will open it.
ᏱᏕᏣᏛᎩᎠ|||If you all hear it.
ᏱᏘᏯᎵᏃᎮᏔᏂ|||If I will talk to him or her.
ᏱᏣᎬᏣ||Ᏹ- ᏣᎬᏨᎢ -Ꭰ|When you drown.
ᏱᏣᎵᏍᎪᎸᏓᏁᎭ|||If you all are permitting.
ᏱᏥᎩᎠ|||If he or she is catching you all.
ᏱᏥᏂᏴᎯᏌ||Ᏹ- ᎢᏥ- ᎤᏂᏴᎲᎢ -ᎢᏌ|① You all might catch it again. ② He or she might catch you all again.
ᏱᏥᏍᏚᎢᏍᏗ|||If you all are opening it.
ᏱᏥᏒᎲᏍᏗ|||If for me to devour him or her.
ᏳᎪᎮ|||If he or she sees him, her, or it.
ᏳᎵᏃᎮᏔᏁ|||If he or she did.
ᏳᎷᏤ|||If arrived.
ᏳᎾᏛᎦᏁ|||If they heard.
ᏳᏂᏍᏚᎢᏎ|||If they opened it.
ᏳᏪᏅᏒᎭ||Ᏹ- ᎤᏪᏅᏒᎢ -ᎥᎭ|If he or she would come.
