# Gigage-Alsdulo-ale-Na-Galgwogi-Unaksojaneda-Anigina.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᎢᏍᎩᏥ|||You, our mother.
ᎢᏓᎵᎮᎵᎦ|||We all are happy.
ᎢᏣᏛᎦᏁᏍ|||Did you all hear it?
ᎢᏣᏛᏓᏍᏓ|||Let you all listen!
ᎢᏥᎪᏩᏔ|||Let you all see it.
ᎢᏥᏍᏕᎸᏗ|||① For you all to help him or her. ② For him or her to help you all.
ᎢᏥᏍᏚᎢ|||Let you all open it.
ᎢᏥᏍᏚᎢᏍᏗ|||For you all open it.
ᎢᏥᏥ|||Your all's mother.
ᎢᏥᏯᏅᏗ|||① For you all to call out to him or her. ② For him or her to call out to you all.
ᎢᏨᎢᏙᎴᎭ|||I have it in hand for you all.
ᎢᏨᎮᎭ||ᎢᏨ- ᎤᎲᎢ -ᎡᎭ|I have it for you all.
ᎢᏨᎮᏍᏕᎭ||ᎢᏨ- ᎤᎮᏍᏛᎢ -ᎡᎭ|I have it for you all.
ᎢᏨᏟᏗ||ᎢᏨ- ᎤᏢᎢ -ᎢᏗ|They and I are about to kill you.
ᎢᏨᏥ|||I, your all's mother.
ᎢᏨᏯᎵᏍᏕᎵᎭ|||They and I are helping you.
ᎢᏨᏳᎭ|||I love you all.
ᎢᏳᏍᏗ|||Way of. Like.
ᎢᏴ|||Time. Location.
Ꭳ|||Oh!
ᎣᎦᏅᏔ|||They and I know it.
ᎣᎦᏤᎵ|||Their and my.
ᎣᎨᎵᏒᎩ|||They and I thought so.
ᎣᎩᎯᏙᎴᎴ|||He or she had for us.
ᎣᎩᏂᏱᏗ|||For them and me to catch him, her, or it.
ᎣᎩᏍᏚᎢᏍᏗ|||For them and me to open it.
ᎣᎩᏥ|||She, their and my mother.
ᎣᎪᏎᎸᎩ|||He or she said to them and me.
ᎣᏍᏓ|||Good. Well.
ᎣᏍᏓᎨᎢ||ᎣᏍᏓ -ᎨᎢ(-ge̋:ɂi)|Better.
ᎣᏍᏗᎨᏳᏐ|||He or she and I love or are possessive over him, her, or it.
ᎣᏣᎵᎮᎵᎦ|||They and I are happy.
ᎣᏣᏁᏟᏗᏍᎬᎩ|||We were trying.
ᎣᏣᏅᏔ|||They and I know it.
ᎣᏣᏛᎩᎠ|||They and I hear him, her, or it.
ᎣᏥᎪᏩᏘᎭ|||They and I see him, her, or it.
ᎣᏥᏥ|||Their and my mother.
ᎣᏥᏥᎨ||ᎣᏥᏥ -Ꭸ(-kē)|Or is it their and my mother?
ᎣᏦᎵᎦ|||They and I are acquainted with him or her. They and I understand it.
ᎤᎦᎾᏍᏓ|||Sweet.
ᎤᎦᏐᏣᏁᏓ|||A goat.
