# Na-Anijoi-Sigwa.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
-ᎡᎦ|-é:ga||Is now going somewhere to do it.
-ᎡᎭ|-e:ha||Is doing for someone. Is doing to someone.
-ᎡᎵ|-e:lī||Just now did for someone. Just now did towards someone.
-ᎡᎸᎢ|-e:lv̌:ɂi||Did to or for.
-ᎡᏗ|-éhdi||To do something for someone. To do something to someone.
-Ꭲ|||Ꮣ- -Ꭲ → Will happen.
-ᎢᎦ|① -í:ga ② -i:ga ③ -i:gā||① Is coming in order to do it. ② Let come in order to do it. ③ Just now came in order to do it.
-ᎢᎸᎢ|-ǐ:hlv̌:ɂi||Came in order to do it.
-ᎤᎦ|-ú:ga||Let leave to do it.
-ᎥᎭ|||Should or would.
-ᎥᏌᏅᎢ|-v̌:sáhnv́:ɂi||Again did it.
-ᎥᏍᏗ|-v́:sdi||To leave to do it.
-ᎥᏒᎢ|-v́:sv̌:ɂi||Left to do it.
-ᏍᎪ|||Is it?
-Ꮟ|-x̀:si, ɂsi||Let be doing for… Let be doing towards…
ᎠᎦᏁᏍᎨᎲᎢ|||Its assembly.
ᎠᎦᏐᏍᎬᎢ|||Downhill.
ᎠᎩᎷᏨᎢ|||My arriving.
ᎠᎩᎷᏨᎩ|||I arrived.
ᎠᎩᎸᏉᏗ|||① I like it. ② He or she likes me.
ᎠᎩᎸᏉᏛᎭ|||I should or would like it.
ᎠᎩᎸᏍᏗ|||For me to climb.
ᎠᎩᏂᏴᎲᎭ|||He or she should or would catch me.
ᎠᎩᏒᎲᏍᏗ|||For me to devour.
ᎠᎩᏒᏅᎭ|||He or she should or would devour me.
ᎠᎩᏥ|||She, my mother.
ᎠᎩᏩᏛᏗ|||For me to find it.
ᎠᎩᏲᏍᏔᏅᎩ|||I broke it.
ᎠᎩᏲᏏᎭ|||I am hungry.
ᎠᎱᏣᏬᎳᏛᎢ|||A chimney.
ᎠᎵᎮᎵᎦ|||He or she is happy or thankful.
ᎠᎵᏍᏓᏴᏗ|||Groceries or a meal.
ᎠᎵᏍᏓᏴᏗᏍ|||Is it groceries or a meal?
ᎠᎾᏛᎩᎠ|||They hear him, her, or it.
ᎠᎾᏛᏁᎵᏍᎩ||ᎠᏂ- ᎠᏛᏁᎵᏍᎪᎢ -Ꭲ|They who act silly, such as clowns.
ᎠᎾᏛᏁᎵᏍᎩᎢ||ᎠᏂ- ᎠᏛᏁᎵᏍᎪᎢ -Ꭲ -Ꭲ|A place where they act silly, such as a circus.
ᎠᏁᎦ|||They are going.
ᎠᏂᎩᏒᏒᎭ||ᎠᏂ- ᎤᎩᏒᎢ -ᎥᏒᎢ -ᎥᎭ|They should or would leave to get it.
