# Na-Usdi-Agigage-Jitaga-Agisi.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
ᎤᏅᏂᏎ|||① They became ripe. ② They became cooked.
ᎤᏅᏂᏒᎢ|||① Their ripeness. Ripened. ② Their being cooked.
ᎤᏅᏂᏒᎢᏍ|||① Are they ripe? ② Are they cooked?
ᎤᏍᏗ|① u:sdi̋ ② usdi̋||① A baby. ② Little.
ᎤᏍᏗᏍ|||Is it little?
ᎤᏍᏙᎡ|||He or she ground it.
ᎤᏍᏙᎥᎩ|||He or she ground it.
ᎤᏙᎯᏳ|||True
ᎤᏛᏁ|① ù:dv:hne ② ù:dv:ɂne ③ ù:dv́:ne||① He or she said. ② He or she was hanged. ③ He or she hanged it.
ᎤᏛᏎ|||It grew.
ᎤᏝᏁ|||He or she placed it.
ᎤᏣᎠ|||It is inside it.
ᎤᏣᎴᏍᏗ|||Wheat.
ᎤᏣᎴᏍᏗᏃ|||And wheat.
ᎤᏣᎴᏍᏗᏍ|||Is it wheat?
ᎤᏤᎵ|||His.
ᎤᏩᏌ|||Him or herself.
ᎤᏩᏚᏁ|||He or she baked it.
ᎤᏩᏛᎮ|||He or she found it.
ᎤᏩᏟᏌᏁ|||He or she gathered it.
ᎤᏩᏟᏐᏗ|||For him or her to gather it.
ᎤᏪᏅᏎ|||He or she went.
ᎤᏫᏍᏗ|||For him or her to plant it.
ᎤᏫᏎ|||He or she planted it.
ᎤᏫᏘᏗ|||For him or her to take it somewhere.
ᎤᏫᏛᎮ|||He or she took it somewhere.
ᎤᏫᏛᎲᎭ||ᎤᏫᏛᎲᎢ -ᎥᎭ|He or she should or would take it somewhere.
ᎤᏬᏢᏁ|||He or she made it.
ᎤᏰᏘᏎᎴ||ᎤᏰᏘᏒᎢ -ᎡᎸᎢ|He or she laughed for him or her.
Ꭵ|||Yes.
ᎥᎥ|||Yes.
